title,synopsis,original title,date,score,type,actors,duration,episodes
Your Lie in April,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,Original title: Shigatsu wa kimi no uso,2014–2015,8.6,"Animation,Drama,Music","Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Christina McBride,Jennifer Alyx,Ryan Raydarke,Megan Crockett,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley","23, ,minutes",23
Ezel,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",,2009–2011,8.6,"Crime,Drama,Thriller","Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,Tuncel Kurtiz,Bade Iscil,Sarp Akkaya,Bayazit Gülercan,Ipek Bilgin,Nurhan Özenen,Baris Serma,Ataberk Ural,Burçin Terzioglu,Riza Kocaoglu,Salih Kalyon,Kemal Uçar,Levent Can,Mert Akbas","1, ,hour, ,30, ,minutes",71
Whose Line Is It Anyway?,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,,1998–2007,8.5,"Comedy,Game-Show","Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,Wayne Brady,Linda Taylor,Greg Proops,Brad Sherwood,Cece Worrall Rubin,Charles Esten,Kathryn Greenwood,Denny Siegel,Anne King,Jeff Bryan Davis,Anna Wanselius,Kathy Griffin,Karen Maruyama,Whoopi Goldberg","30, ,minutes",220
Mr Inbetween,"In Mr Inbetween, Ryan plays ""Ray Shoesmith,"" a father, ex-husband, boyfriend and best friend: tough roles to juggle in the modern age. Even harder when you're a criminal for hire.",,2018–2021,8.6,"Crime,Drama","Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,Brooke Satchwell,Nicholas Cassim,Natalie Tran,Matt Nable,Lizzie Schebesta,Jed,Jeremy Sims,Kenny Graham,Eddie Baroo,Josh McConville,Kieran Darcy-Smith,David Michôd,Scott Harrison,Rose Riley","30, ,minutes",26
The Night Of,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",,2016,8.5,"Crime,Drama,Mystery","Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,David Cheekz Weeks,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar","8, ,hours, ,45, ,minutes",8
The Office,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,,2001–2003,8.5,"Comedy,Drama","Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Stirling Gallacher,Ralph Ineson","30, ,minutes",14
Spartacus: les dieux de l'arène,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",Original title: Spartacus: Gods of the Arena,2011,8.5,"Action,Adventure,Biography","John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray","5, ,hours, ,31, ,minutes",6
Sons of Anarchy,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,,2008–2014,8.5,"Crime,Drama,Thriller","Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo","45, ,minutes",92
Shameless,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",,2011–2021,8.5,"Comedy,Drama","Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner","46, ,minutes",134
The Expanse,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",,2015– ,8.5,"Drama,Mystery,Sci-Fi","Wes Chatham,Steven Strait,Dominique Tipper,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Chad L. Coleman,Nadine Nicole,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,Anna Hopkins,David Strathairn","1, ,hour",62
Hannibal,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,,2013–2015,8.5,"Crime,Drama,Horror","Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley","44, ,minutes",39
Génération Kill,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",Original title: Generation Kill,2008,8.5,"Drama,War","Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,Stark Sands,Billy Lush,Jonah Lotan,Wilson Bethel,Pawel Szajda,Marc Menchaca,Rey Valentin,Kellan Lutz,Mike Figueroa,Rudy Reyes,Rich McDonald,Eric Ladin,Chance Kelly,Eric Nenninger","1, ,hour, ,10, ,minutes",7
Louie,"The life of Louie C.K., a divorced comedian living in New York with two kids.",,2010–2015,8.5,"Comedy,Drama","Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin,Parker Posey,Amy Landecker","22, ,minutes",61
Impractical Jokers,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",,2011– ,8.5,"Comedy,Reality-TV","Brian Quinn,James Murray,Sal Vulcano,Joe Gatto,Casey Jost,Rob Emmer,Bill St. James,Drew Patterson,Joey Fatone,John Szeluga,Cole Weber,Frank Contacessa,Jay Miller,Daniel Cast,Chase Dominick,Johnna Scrabis,Steven Hopper,Andrew Hood","30, ,minutes",258
Chef's Table,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",,2015–2019,8.5,Documentary,"Massimo Bottura,Ruth Reichl,Francis Mallmann,Dan Barber,Bill Buford,Niki Nakayama,Magnus Nilsson,Lara Gilmore,Ben Shewry,David Chang,Grant Achatz,Dominique Crenn,Enrique Olvera,Daniel Humm,Ana Ros,Gaggan Anand,Alex Atala,Anna Morelli","50, ,minutes",30
Silicon Valley,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",,2014–2019,8.5,Comedy,"Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White","28, ,minutes",53
Les enquêtes de Morse,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",Original title: Endeavour,2012– ,8.6,"Crime,Drama,Mystery","Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Shvorne Marks,Lewis Peek,Simon Harrison,Carol Royle,Richard Riddell,Mark Arden,Flora London","1, ,hour, ,29, ,minutes",33
Skam,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",,2015–2017,8.6,"Drama,Romance","Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi","30, ,minutes",43
Detectorists,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",,2014–2017,8.6,Comedy,"Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill","30, ,minutes",19
Homicide,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,Original title: Homicide: Life on the Street,1993–1999,8.6,"Crime,Drama,Mystery","Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Toni Lewis,Isabella Hofmann,Callie Thorne,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty","1, ,hour",122
Doctor Who,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,,2005– ,8.6,"Adventure,Drama,Family","Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Arthur Darvill,Simon Carew,Bradley Walsh,Tosin Cole,Ruari Mears,Freema Agyeman","45, ,minutes",200
Letterkenny,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",,2016– ,8.6,Comedy,"Jared Keeso,Nathan Dales,Michelle Mylett,Andrew Herr,K. Trevor Wilson,Dylan Playfair,Tyler Johnston,Evan Stern,Patrick McNeil,Lisa Codrington,Jacob Tierney,Kamilla Kowal,Dan Petronijevic,Mark Forward,Jay Bertin,Joel Gagne,Kaniehtiio Horn,Clark Backo","30, ,minutes",61
Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.",Original title: Hagane no renkinjutsushi,2003–2004,8.5,"Animation,Action,Adventure","Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Maria Tamar,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto","24, ,minutes",51
Brass Eye,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",,1997–2001,8.6,Comedy,"Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz","25, ,minutes",7
Six sexy,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,Original title: Coupling,2000–2004,8.5,"Comedy,Romance","Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Anat Dychtwald,Raji James","30, ,minutes",28
Mystery Science Theater 3000,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",,1988–1999,8.5,"Comedy,Sci-Fi","Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,Jim Mallon,Frank Conniff,Mary Jo Pehl,Bill Corbett,Patrick Brantseg,Alexandra Carr,Paul Chaplin,J. Elvis Weinstein,Bridget Jones,Beez McKeever,Peter Rudrud,Bradley J. Keely,Nathan Molstead,Timothy Scott","1, ,hour, ,32, ,minutes",199
Alfred Hitchcock présente,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",Original title: Alfred Hitchcock Presents,1955–1962,8.5,"Comedy,Crime,Drama","Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Lillian O'Malley,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis","25, ,minutes",268
The IT Crowd,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",,2006–2013,8.5,Comedy,"Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor","25, ,minutes",25
"Yes, Prime Minister",James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,,1986–1987,8.6,Comedy,"Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Michael Aldridge,John Barron,Clive Francis,Frank Middlemass,John Wells","30, ,minutes",16
Mr. Robot,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",,2015–2019,8.5,"Crime,Drama,Thriller","Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm","49, ,minutes",45
Mob Psycho 100,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",,2016– ,8.6,"Animation,Action,Comedy","Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Miyu Irino,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Yoshimasa Hosoya,Daiki Hamano,Seiichiro Yamashita,Kyle McCarley,Chris Niosi,Toshihiko Seki,Kôhei Amasaki,Max Mittelman,Landon McDonald,Jade Dennis,Atsumi Tanezaki,Chris Hackney","24, ,minutes",25
Dragon Ball,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",,1995–2003,8.5,"Animation,Action,Adventure","Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber","24, ,minutes",153
Soleil noir,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",Original title: Senke nad Balkanom,2017– ,8.8,"Crime,Drama,Thriller","Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic","1, ,hour",20
Adventure Time avec Finn et Jake,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",Original title: Adventure Time,2010–2018,8.6,"Animation,Action,Adventure","John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland","11, ,minutes",289
Flight of the Conchords,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",,2007–2009,8.5,"Comedy,Music,Musical","Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari","28, ,minutes",22
Pose,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism.",,2018–2021,8.6,Drama,"Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard","1, ,hour",26
Dragon Ball,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",Original title: Dragon Ball: Doragon bôru,1986–1989,8.5,"Animation,Action,Adventure","Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Naoki Tatsuta,Mami Koyama,Kenji Utsumi,Hirotaka Suzuoki,Noeli Santisteban,Daisuke Gôri,Takeshi Aono,Tesshô Genda,Hiroko Emori","24, ,minutes",153
Twin Peaks: The Return,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Original title: Twin Peaks,2017,8.5,"Crime,Drama,Fantasy","Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe","1, ,hour",18
Boardwalk Empire,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,,2010–2014,8.5,"Crime,Drama,History","Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue","55, ,minutes",57
Samurai chanpurû,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",,2004–2005,8.5,"Animation,Action,Adventure","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz","24, ,minutes",26
De la Terre à la Lune,Dramatized portrayal of the Apollo manned space program.,Original title: From the Earth to the Moon,1998,8.6,"Action,Drama,History","Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson","1, ,hour",12
Long Way Round,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.",,2004–2010,8.6,"Documentary,Adventure","Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Doone Boorman,Kinvara Boorman,Jim McGregor,John Boorman,Christel Kruse Boorman,Carol McGregor,Daisy Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.","5, ,hours, ,15, ,minutes",10
What We Do in the Shadows,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",,2016– ,8.6,"Comedy,Fantasy,Horror","Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Doug Jones,Anthony Atamanuik,Veronika Slowikowska,Jake McDorman,Beanie Feldstein,Gloria Laino,Karly Bon,Kae Kae Lee,Indiana Mehta,Taika Waititi,Gavin Fox,Chris Sandiford","30, ,minutes",31
Neon Genesis Evangelion,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,Original title: Shin seiki evangerion,1995–1996,8.5,"Animation,Action,Drama","Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Casey Mongillo,Carrie Keranen,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón","24, ,minutes",26
Naruto: Shippuden,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Original title: Naruto: Shippûden,2007–2017,8.6,"Animation,Action,Adventure","Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Yuri Lowenthal,Noriaki Sugiyama,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama,Troy Baker","24, ,minutes",502
La Ligue des justiciers,Seven of the most formidable heroes form arguably the most powerful team ever.,Original title: Justice League,2001–2004,8.5,"Animation,Action,Adventure","Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson","22, ,minutes",52
Mr. Bean,"Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",,1990–1995,8.5,"Comedy,Family","Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Angus Deayton,Paul Bown,Dave O'Higgins,Richard Wilson,Michael Fenton Stevens","25, ,minutes",15
Les allumés,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Original title: Spaced,1999–2001,8.5,"Action,Comedy","Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland","25, ,minutes",14
Nord et Sud,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",Original title: North & South,2004,8.6,"Drama,Romance","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown","3, ,hours, ,55, ,minutes",4
The Eric Andre Show,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",,2012– ,8.6,Comedy,"Eric André,Hannibal Buress,Robert Smith,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,Adora Dei,John Bueno,JV Smith,Jermaine Fowler,Tom Kane,Felipe Esparza,Duane R. Shepard Sr.,Don Peake,Sumiyo Iwasawa,Emilio Palame,Harold Cannon","11, ,minutes",59
The Family Man,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",,2019– ,8.8,"Action,Comedy,Drama","Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh","45, ,minutes",19
Cobra Kai,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",,2018– ,8.6,"Action,Comedy,Drama","Courtney Henggeler,Mary Mouser,Tanner Buchanan,Ralph Macchio,Xolo Maridueña,William Zabka,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Aedin Mincks,Owen Morgan,Khalil Everage,Nichole Brown,Hannah Kepple,Joe Seo,Griffin Santopietro","30, ,minutes",41
Justified,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",,2010–2015,8.6,"Action,Crime,Drama","Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson,Kaitlyn Dever","44, ,minutes",78
